"","x","y","R_sd1","URS_sd1","UR_sd1","R_sd2","URS_sd2","UR_sd2","R_sd3","URS_sd3","UR_sd3","RS_sd1","RS_sd2","RS_sd3"
"1",1,0.000802981354589312,0.005,0.032,0.033,0.001,0.027,0.029,0.002,-0.088,-0.068,0,0.007,0.007
"2",2,0.00395960424460642,0.024,0.033,0.033,0.007,0.024,0.023,0.03,-0.149,-0.168,0,0.014,0.014
"3",3,0.0163532496102987,0.026,0.02,0.019,0.026,-0.004,-0.005,0.057,0.121,0.207,0,0.024,0.024
"4",4,0.056566891624987,0.049,0.07,0.066,0.092,0.06,0.06,0.093,0.174,0.094,0.001,0.04,0.04
"5",5,0.163880216176472,0.139,0.173,0.176,0.147,0.181,0.187,0.209,0.244,0.293,0.09,0.096,0.096
"6",6,0.397646080457573,0.453,0.436,0.443,0.384,0.499,0.499,0.411,0.265,0.245,0.417,0.312,0.312
"7",7,0.808114404986723,0.842,0.775,0.778,0.821,0.756,0.748,0.809,0.866,0.896,0.829,0.783,0.783
"8",8,1.37548213806868,1.308,1.365,1.354,1.355,1.475,1.496,1.331,1.382,1.371,1.36,1.383,1.383
"9",9,1.96084392125918,1.947,1.952,1.927,2.045,1.954,1.976,2.031,2.052,1.972,1.973,2.023,2.023
"10",10,2.34119216347475,2.28,2.314,2.294,2.368,2.348,2.337,2.277,2.24,2.262,2.354,2.261,2.261
"11",11,2.34119216347475,2.357,2.329,2.331,2.364,2.378,2.373,2.254,2.215,2.179,2.342,2.31,2.31
"12",12,1.96084392125918,1.946,1.964,1.917,1.986,1.976,1.998,2.086,1.893,1.898,2.047,2.056,2.056
"13",13,1.37548213806868,1.314,1.331,1.343,1.343,1.41,1.387,1.133,1.267,1.265,1.343,1.328,1.328
"14",14,0.808114404986724,0.837,0.832,0.83,0.763,0.788,0.797,0.598,0.758,0.78,0.753,0.722,0.722
"15",15,0.397646080457573,0.447,0.392,0.391,0.337,0.365,0.367,0.351,0.424,0.429,0.322,0.212,0.212
"16",16,0.163880216176472,0.118,0.186,0.189,0.096,0.18,0.18,0.213,0.238,0.247,0.079,0.001,0.001
"17",17,0.0565668916249871,0.043,0.068,0.07,0,-0.02,-0.021,0.065,0.042,-0.099,0.007,0,0
"18",18,0.0163532496102987,0.018,0.022,0.022,0,-0.028,-0.03,0.006,0.193,0.232,0,0,0
"19",19,0.00395960424460643,0.002,-0.03,-0.03,0,0.015,0.015,0,-0.065,-0.081,0,0,0
"20",20,0.000802981354589312,0.002,0.016,0.019,0,-0.066,-0.068,0,-0.024,-0.024,0,0,0
